A_c,stratum_gap,A_c_1,A_c_2,method,bet,allocation,stopping_time,sample_size
0.5,0.0,0.5,0.5,lcbs,fixed,round_robin,400.0,400.0
0.5,0.0,0.5,0.5,lcbs,fixed,predictable_kelly,,
0.5,0.0,0.5,0.5,lcbs,fixed,greedy_kelly,,
0.5,0.0,0.5,0.5,lcbs,agrapa,round_robin,400.0,400.0
0.5,0.0,0.5,0.5,lcbs,agrapa,predictable_kelly,,
0.5,0.0,0.5,0.5,lcbs,agrapa,greedy_kelly,,
0.5,0.0,0.5,0.5,lcbs,smooth_predictable,round_robin,400.0,400.0
0.5,0.0,0.5,0.5,lcbs,smooth_predictable,predictable_kelly,,
0.5,0.0,0.5,0.5,lcbs,smooth_predictable,greedy_kelly,,
0.5,0.0,0.5,0.5,uinnsm_product,fixed,round_robin,400.0,400.0
0.5,0.0,0.5,0.5,uinnsm_product,fixed,predictable_kelly,400.0,400.0
0.5,0.0,0.5,0.5,uinnsm_product,fixed,greedy_kelly,400.0,400.0
0.5,0.0,0.5,0.5,uinnsm_product,agrapa,round_robin,400.0,400.0
0.5,0.0,0.5,0.5,uinnsm_product,agrapa,predictable_kelly,400.0,400.0
0.5,0.0,0.5,0.5,uinnsm_product,agrapa,greedy_kelly,400.0,400.0
0.5,0.0,0.5,0.5,uinnsm_product,smooth_predictable,round_robin,400.0,400.0
0.5,0.0,0.5,0.5,uinnsm_product,smooth_predictable,predictable_kelly,400.0,400.0
0.5,0.0,0.5,0.5,uinnsm_product,smooth_predictable,greedy_kelly,400.0,400.0
0.5,0.0,0.5,0.5,uinnsm_fisher,fixed,round_robin,400.0,400.0
0.5,0.0,0.5,0.5,uinnsm_fisher,fixed,predictable_kelly,400.0,400.0
0.5,0.0,0.5,0.5,uinnsm_fisher,fixed,greedy_kelly,400.0,400.0
0.5,0.0,0.5,0.5,uinnsm_fisher,agrapa,round_robin,400.0,400.0
0.5,0.0,0.5,0.5,uinnsm_fisher,agrapa,predictable_kelly,400.0,400.0
0.5,0.0,0.5,0.5,uinnsm_fisher,agrapa,greedy_kelly,400.0,400.0
0.5,0.0,0.5,0.5,uinnsm_fisher,smooth_predictable,round_robin,400.0,400.0
0.5,0.0,0.5,0.5,uinnsm_fisher,smooth_predictable,predictable_kelly,400.0,400.0
0.5,0.0,0.5,0.5,uinnsm_fisher,smooth_predictable,greedy_kelly,400.0,400.0
0.5,0.5,0.25,0.75,lcbs,fixed,round_robin,400.0,400.0
0.5,0.5,0.25,0.75,lcbs,fixed,predictable_kelly,,
0.5,0.5,0.25,0.75,lcbs,fixed,greedy_kelly,,
0.5,0.5,0.25,0.75,lcbs,agrapa,round_robin,400.0,400.0
0.5,0.5,0.25,0.75,lcbs,agrapa,predictable_kelly,,
0.5,0.5,0.25,0.75,lcbs,agrapa,greedy_kelly,,
0.5,0.5,0.25,0.75,lcbs,smooth_predictable,round_robin,400.0,400.0
0.5,0.5,0.25,0.75,lcbs,smooth_predictable,predictable_kelly,,
0.5,0.5,0.25,0.75,lcbs,smooth_predictable,greedy_kelly,,
0.5,0.5,0.25,0.75,uinnsm_product,fixed,round_robin,400.0,400.0
0.5,0.5,0.25,0.75,uinnsm_product,fixed,predictable_kelly,400.0,400.0
0.5,0.5,0.25,0.75,uinnsm_product,fixed,greedy_kelly,400.0,400.0
0.5,0.5,0.25,0.75,uinnsm_product,agrapa,round_robin,400.0,400.0
0.5,0.5,0.25,0.75,uinnsm_product,agrapa,predictable_kelly,400.0,400.0
0.5,0.5,0.25,0.75,uinnsm_product,agrapa,greedy_kelly,400.0,400.0
0.5,0.5,0.25,0.75,uinnsm_product,smooth_predictable,round_robin,400.0,400.0
0.5,0.5,0.25,0.75,uinnsm_product,smooth_predictable,predictable_kelly,400.0,400.0
0.5,0.5,0.25,0.75,uinnsm_product,smooth_predictable,greedy_kelly,400.0,400.0
0.5,0.5,0.25,0.75,uinnsm_fisher,fixed,round_robin,400.0,400.0
0.5,0.5,0.25,0.75,uinnsm_fisher,fixed,predictable_kelly,400.0,400.0
0.5,0.5,0.25,0.75,uinnsm_fisher,fixed,greedy_kelly,400.0,400.0
0.5,0.5,0.25,0.75,uinnsm_fisher,agrapa,round_robin,400.0,400.0
0.5,0.5,0.25,0.75,uinnsm_fisher,agrapa,predictable_kelly,400.0,400.0
0.5,0.5,0.25,0.75,uinnsm_fisher,agrapa,greedy_kelly,400.0,400.0
0.5,0.5,0.25,0.75,uinnsm_fisher,smooth_predictable,round_robin,400.0,400.0
0.5,0.5,0.25,0.75,uinnsm_fisher,smooth_predictable,predictable_kelly,400.0,400.0
0.5,0.5,0.25,0.75,uinnsm_fisher,smooth_predictable,greedy_kelly,400.0,400.0
0.51,0.0,0.51,0.51,lcbs,fixed,round_robin,400.0,400.0
0.51,0.0,0.51,0.51,lcbs,fixed,predictable_kelly,,
0.51,0.0,0.51,0.51,lcbs,fixed,greedy_kelly,,
0.51,0.0,0.51,0.51,lcbs,agrapa,round_robin,400.0,400.0
0.51,0.0,0.51,0.51,lcbs,agrapa,predictable_kelly,,
0.51,0.0,0.51,0.51,lcbs,agrapa,greedy_kelly,,
0.51,0.0,0.51,0.51,lcbs,smooth_predictable,round_robin,400.0,400.0
0.51,0.0,0.51,0.51,lcbs,smooth_predictable,predictable_kelly,,
0.51,0.0,0.51,0.51,lcbs,smooth_predictable,greedy_kelly,,
0.51,0.0,0.51,0.51,uinnsm_product,fixed,round_robin,400.0,400.0
0.51,0.0,0.51,0.51,uinnsm_product,fixed,predictable_kelly,400.0,400.0
0.51,0.0,0.51,0.51,uinnsm_product,fixed,greedy_kelly,400.0,400.0
0.51,0.0,0.51,0.51,uinnsm_product,agrapa,round_robin,400.0,400.0
0.51,0.0,0.51,0.51,uinnsm_product,agrapa,predictable_kelly,400.0,400.0
0.51,0.0,0.51,0.51,uinnsm_product,agrapa,greedy_kelly,229.0,229.0
0.51,0.0,0.51,0.51,uinnsm_product,smooth_predictable,round_robin,400.0,400.0
0.51,0.0,0.51,0.51,uinnsm_product,smooth_predictable,predictable_kelly,400.0,400.0
0.51,0.0,0.51,0.51,uinnsm_product,smooth_predictable,greedy_kelly,52.0,52.0
0.51,0.0,0.51,0.51,uinnsm_fisher,fixed,round_robin,400.0,400.0
0.51,0.0,0.51,0.51,uinnsm_fisher,fixed,predictable_kelly,400.0,400.0
0.51,0.0,0.51,0.51,uinnsm_fisher,fixed,greedy_kelly,72.0,72.0
0.51,0.0,0.51,0.51,uinnsm_fisher,agrapa,round_robin,400.0,400.0
0.51,0.0,0.51,0.51,uinnsm_fisher,agrapa,predictable_kelly,400.0,400.0
0.51,0.0,0.51,0.51,uinnsm_fisher,agrapa,greedy_kelly,236.0,236.0
0.51,0.0,0.51,0.51,uinnsm_fisher,smooth_predictable,round_robin,400.0,400.0
0.51,0.0,0.51,0.51,uinnsm_fisher,smooth_predictable,predictable_kelly,400.0,400.0
0.51,0.0,0.51,0.51,uinnsm_fisher,smooth_predictable,greedy_kelly,66.0,66.0
0.51,0.5,0.26,0.76,lcbs,fixed,round_robin,400.0,400.0
0.51,0.5,0.26,0.76,lcbs,fixed,predictable_kelly,,
0.51,0.5,0.26,0.76,lcbs,fixed,greedy_kelly,,
0.51,0.5,0.26,0.76,lcbs,agrapa,round_robin,400.0,400.0
0.51,0.5,0.26,0.76,lcbs,agrapa,predictable_kelly,,
0.51,0.5,0.26,0.76,lcbs,agrapa,greedy_kelly,,
0.51,0.5,0.26,0.76,lcbs,smooth_predictable,round_robin,400.0,400.0
0.51,0.5,0.26,0.76,lcbs,smooth_predictable,predictable_kelly,,
0.51,0.5,0.26,0.76,lcbs,smooth_predictable,greedy_kelly,,
0.51,0.5,0.26,0.76,uinnsm_product,fixed,round_robin,400.0,400.0
0.51,0.5,0.26,0.76,uinnsm_product,fixed,predictable_kelly,400.0,400.0
0.51,0.5,0.26,0.76,uinnsm_product,fixed,greedy_kelly,400.0,400.0
0.51,0.5,0.26,0.76,uinnsm_product,agrapa,round_robin,400.0,400.0
0.51,0.5,0.26,0.76,uinnsm_product,agrapa,predictable_kelly,400.0,400.0
0.51,0.5,0.26,0.76,uinnsm_product,agrapa,greedy_kelly,229.0,229.0
0.51,0.5,0.26,0.76,uinnsm_product,smooth_predictable,round_robin,400.0,400.0
0.51,0.5,0.26,0.76,uinnsm_product,smooth_predictable,predictable_kelly,400.0,400.0
0.51,0.5,0.26,0.76,uinnsm_product,smooth_predictable,greedy_kelly,52.0,52.0
0.51,0.5,0.26,0.76,uinnsm_fisher,fixed,round_robin,400.0,400.0
0.51,0.5,0.26,0.76,uinnsm_fisher,fixed,predictable_kelly,400.0,400.0
0.51,0.5,0.26,0.76,uinnsm_fisher,fixed,greedy_kelly,72.0,72.0
0.51,0.5,0.26,0.76,uinnsm_fisher,agrapa,round_robin,400.0,400.0
0.51,0.5,0.26,0.76,uinnsm_fisher,agrapa,predictable_kelly,400.0,400.0
0.51,0.5,0.26,0.76,uinnsm_fisher,agrapa,greedy_kelly,236.0,236.0
0.51,0.5,0.26,0.76,uinnsm_fisher,smooth_predictable,round_robin,400.0,400.0
0.51,0.5,0.26,0.76,uinnsm_fisher,smooth_predictable,predictable_kelly,400.0,400.0
0.51,0.5,0.26,0.76,uinnsm_fisher,smooth_predictable,greedy_kelly,66.0,66.0
0.53,0.0,0.53,0.53,lcbs,fixed,round_robin,400.0,400.0
0.53,0.0,0.53,0.53,lcbs,fixed,predictable_kelly,,
0.53,0.0,0.53,0.53,lcbs,fixed,greedy_kelly,,
0.53,0.0,0.53,0.53,lcbs,agrapa,round_robin,273.0,273.0
0.53,0.0,0.53,0.53,lcbs,agrapa,predictable_kelly,,
0.53,0.0,0.53,0.53,lcbs,agrapa,greedy_kelly,,
0.53,0.0,0.53,0.53,lcbs,smooth_predictable,round_robin,389.0,389.0
0.53,0.0,0.53,0.53,lcbs,smooth_predictable,predictable_kelly,,
0.53,0.0,0.53,0.53,lcbs,smooth_predictable,greedy_kelly,,
0.53,0.0,0.53,0.53,uinnsm_product,fixed,round_robin,400.0,400.0
0.53,0.0,0.53,0.53,uinnsm_product,fixed,predictable_kelly,260.0,400.0
