A_c,stratum_gap,A_c_1,A_c_2,bet,allocation,stopping_time_uinnsm,stopping_time_lcb
0.5,0.0,0.5,0.5,fixed,round_robin,1000.0,1000.0
0.5,0.0,0.5,0.5,fixed,larger_means,1000.0,1000.0
0.5,0.0,0.5,0.5,fixed,proportional_to_mart,1000.0,
0.5,0.0,0.5,0.5,agrapa,round_robin,1000.0,1000.0
0.5,0.0,0.5,0.5,agrapa,larger_means,1000.0,1000.0
0.5,0.0,0.5,0.5,agrapa,proportional_to_mart,1000.0,
0.5,0.0,0.5,0.5,smooth_predictable,round_robin,1000.0,1000.0
0.5,0.0,0.5,0.5,smooth_predictable,larger_means,1000.0,1000.0
0.5,0.0,0.5,0.5,smooth_predictable,proportional_to_mart,1000.0,
0.5,0.0,0.5,0.5,uniform_mixture,round_robin,1000.0,
0.5,0.0,0.5,0.5,uniform_mixture,larger_means,1000.0,
0.5,0.0,0.5,0.5,uniform_mixture,proportional_to_mart,1000.0,
0.5,0.1,0.45,0.55,fixed,round_robin,1000.0,1000.0
0.5,0.1,0.45,0.55,fixed,larger_means,1000.0,1000.0
0.5,0.1,0.45,0.55,fixed,proportional_to_mart,1000.0,
0.5,0.1,0.45,0.55,agrapa,round_robin,1000.0,1000.0
0.5,0.1,0.45,0.55,agrapa,larger_means,1000.0,1000.0
0.5,0.1,0.45,0.55,agrapa,proportional_to_mart,1000.0,
0.5,0.1,0.45,0.55,smooth_predictable,round_robin,1000.0,1000.0
0.5,0.1,0.45,0.55,smooth_predictable,larger_means,1000.0,1000.0
0.5,0.1,0.45,0.55,smooth_predictable,proportional_to_mart,1000.0,
0.5,0.1,0.45,0.55,uniform_mixture,round_robin,1000.0,
0.5,0.1,0.45,0.55,uniform_mixture,larger_means,1000.0,
0.5,0.1,0.45,0.55,uniform_mixture,proportional_to_mart,1000.0,
0.5,0.5,0.25,0.75,fixed,round_robin,1000.0,1000.0
0.5,0.5,0.25,0.75,fixed,larger_means,1000.0,1000.0
0.5,0.5,0.25,0.75,fixed,proportional_to_mart,1000.0,
0.5,0.5,0.25,0.75,agrapa,round_robin,1000.0,1000.0
0.5,0.5,0.25,0.75,agrapa,larger_means,1000.0,1000.0
0.5,0.5,0.25,0.75,agrapa,proportional_to_mart,1000.0,
0.5,0.5,0.25,0.75,smooth_predictable,round_robin,1000.0,1000.0
0.5,0.5,0.25,0.75,smooth_predictable,larger_means,1000.0,1000.0
0.5,0.5,0.25,0.75,smooth_predictable,proportional_to_mart,1000.0,
0.5,0.5,0.25,0.75,uniform_mixture,round_robin,1000.0,
0.5,0.5,0.25,0.75,uniform_mixture,larger_means,1000.0,
0.5,0.5,0.25,0.75,uniform_mixture,proportional_to_mart,1000.0,
0.51,0.0,0.51,0.51,fixed,round_robin,1000.0,1000.0
0.51,0.0,0.51,0.51,fixed,larger_means,1000.0,1000.0
0.51,0.0,0.51,0.51,fixed,proportional_to_mart,801.0,
0.51,0.0,0.51,0.51,agrapa,round_robin,1000.0,1000.0
0.51,0.0,0.51,0.51,agrapa,larger_means,1000.0,1000.0
0.51,0.0,0.51,0.51,agrapa,proportional_to_mart,1000.0,
0.51,0.0,0.51,0.51,smooth_predictable,round_robin,604.0,1000.0
0.51,0.0,0.51,0.51,smooth_predictable,larger_means,944.0,1000.0
0.51,0.0,0.51,0.51,smooth_predictable,proportional_to_mart,604.0,
0.51,0.0,0.51,0.51,uniform_mixture,round_robin,980.0,
0.51,0.0,0.51,0.51,uniform_mixture,larger_means,981.0,
0.51,0.0,0.51,0.51,uniform_mixture,proportional_to_mart,980.0,
0.51,0.1,0.46,0.56,fixed,round_robin,1000.0,1000.0
0.51,0.1,0.46,0.56,fixed,larger_means,1000.0,1000.0
0.51,0.1,0.46,0.56,fixed,proportional_to_mart,801.0,
