K,global_mean,delta,sd,allocation_rule,mean_stop_unstrat_fixed,mean_stop_unstrat_agrapa,mean_stop_lcb_fixed,mean_stop_lcb_agrapa,mean_stop_uinnsm_fixed,mean_stop_uinnsm_adaptive
2,0.5,0.0,0.01,round_robin,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2,0.5,0.0,0.01,larger_means,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2,0.5,0.0,0.05,round_robin,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2,0.5,0.0,0.05,larger_means,1000.0,1000.0,1000.0,1000.0,1000.0,677.0
2,0.5,0.1,0.01,round_robin,1000.0,1000.0,1000.0,1000.0,1000.0,390.0
2,0.5,0.1,0.01,larger_means,1000.0,1000.0,1000.0,1000.0,1000.0,998.0
2,0.5,0.1,0.05,round_robin,1000.0,1000.0,1000.0,1000.0,1000.0,404.0
2,0.5,0.1,0.05,larger_means,1000.0,1000.0,1000.0,1000.0,1000.0,996.0
2,0.5,0.2,0.01,round_robin,1000.0,1000.0,1000.0,1000.0,1000.0,163.0
2,0.5,0.2,0.01,larger_means,1000.0,1000.0,1000.0,1000.0,1000.0,998.0
2,0.5,0.2,0.05,round_robin,1000.0,1000.0,1000.0,1000.0,1000.0,233.0
2,0.5,0.2,0.05,larger_means,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2,0.5,0.3,0.01,round_robin,1000.0,1000.0,1000.0,1000.0,1000.0,87.0
2,0.5,0.3,0.01,larger_means,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2,0.5,0.3,0.05,round_robin,1000.0,1000.0,1000.0,1000.0,1000.0,82.0
2,0.5,0.3,0.05,larger_means,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2,0.5222222222222223,0.0,0.01,round_robin,188.0,145.0,364.0,262.0,1000.0,50.0
2,0.5222222222222223,0.0,0.01,larger_means,181.0,129.0,347.0,253.0,1000.0,61.0
2,0.5222222222222223,0.0,0.05,round_robin,135.0,72.0,423.0,290.0,1000.0,60.0
2,0.5222222222222223,0.0,0.05,larger_means,165.0,115.0,439.0,306.0,1000.0,114.0
2,0.5222222222222223,0.1,0.01,round_robin,189.0,113.0,346.0,249.0,1000.0,44.0
2,0.5222222222222223,0.1,0.01,larger_means,252.0,234.0,358.0,262.0,1000.0,63.0
2,0.5222222222222223,0.1,0.05,round_robin,220.0,211.0,451.0,398.0,1000.0,52.0
2,0.5222222222222223,0.1,0.05,larger_means,165.0,119.0,415.0,311.0,1000.0,65.0
2,0.5222222222222223,0.2,0.01,round_robin,180.0,150.0,352.0,263.0,1000.0,40.0
2,0.5222222222222223,0.2,0.01,larger_means,398.0,459.0,375.0,270.0,1000.0,58.0
2,0.5222222222222223,0.2,0.05,round_robin,224.0,235.0,423.0,365.0,1000.0,40.0
2,0.5222222222222223,0.2,0.05,larger_means,144.0,90.0,414.0,322.0,1000.0,70.0
2,0.5222222222222223,0.3,0.01,round_robin,224.0,263.0,356.0,269.0,1000.0,30.0
2,0.5222222222222223,0.3,0.01,larger_means,1000.0,1000.0,397.0,273.0,1000.0,814.0
2,0.5222222222222223,0.3,0.05,round_robin,156.0,216.0,370.0,248.0,1000.0,22.0
2,0.5222222222222223,0.3,0.05,larger_means,106.0,76.0,479.0,386.0,1000.0,834.0
2,0.5444444444444444,0.0,0.01,round_robin,97.0,66.0,181.0,121.0,1000.0,24.0
2,0.5444444444444444,0.0,0.01,larger_means,93.0,61.0,182.0,121.0,1000.0,36.0
2,0.5444444444444444,0.0,0.05,round_robin,76.0,53.0,227.0,150.0,1000.0,37.0
2,0.5444444444444444,0.0,0.05,larger_means,87.0,66.0,180.0,124.0,1000.0,19.0
2,0.5444444444444444,0.1,0.01,round_robin,89.0,56.0,184.0,125.0,1000.0,27.0
2,0.5444444444444444,0.1,0.01,larger_means,75.0,56.0,181.0,120.0,1000.0,26.0
2,0.5444444444444444,0.1,0.05,round_robin,95.0,72.0,203.0,131.0,1000.0,21.0
2,0.5444444444444444,0.1,0.05,larger_means,101.0,87.0,194.0,139.0,1000.0,18.0
2,0.5444444444444444,0.2,0.01,round_robin,79.0,58.0,190.0,126.0,1000.0,22.0
2,0.5444444444444444,0.2,0.01,larger_means,116.0,60.0,179.0,118.0,1000.0,22.0
2,0.5444444444444444,0.2,0.05,round_robin,117.0,69.0,157.0,106.0,1000.0,22.0
2,0.5444444444444444,0.2,0.05,larger_means,72.0,51.0,189.0,123.0,1000.0,35.0
2,0.5444444444444444,0.3,0.01,round_robin,85.0,83.0,183.0,122.0,1000.0,20.0
2,0.5444444444444444,0.3,0.01,larger_means,223.0,259.0,191.0,125.0,1000.0,55.0
2,0.5444444444444444,0.3,0.05,round_robin,92.0,86.0,186.0,138.0,1000.0,20.0
2,0.5444444444444444,0.3,0.05,larger_means,121.0,122.0,196.0,119.0,1000.0,19.0
2,0.5666666666666667,0.0,0.01,round_robin,64.0,43.0,123.0,83.0,1000.0,18.0
2,0.5666666666666667,0.0,0.01,larger_means,60.0,40.0,122.0,82.0,1000.0,22.0
2,0.5666666666666667,0.0,0.05,round_robin,59.0,37.0,117.0,80.0,1000.0,18.0
2,0.5666666666666667,0.0,0.05,larger_means,69.0,44.0,133.0,85.0,1000.0,15.0
2,0.5666666666666667,0.1,0.01,round_robin,73.0,44.0,124.0,81.0,1000.0,16.0
2,0.5666666666666667,0.1,0.01,larger_means,63.0,41.0,123.0,83.0,1000.0,23.0
2,0.5666666666666667,0.1,0.05,round_robin,59.0,38.0,115.0,74.0,1000.0,14.0
2,0.5666666666666667,0.1,0.05,larger_means,69.0,50.0,129.0,79.0,1000.0,14.0
2,0.5666666666666667,0.2,0.01,round_robin,54.0,42.0,123.0,82.0,1000.0,16.0
2,0.5666666666666667,0.2,0.01,larger_means,65.0,47.0,125.0,84.0,1000.0,43.0
2,0.5666666666666667,0.2,0.05,round_robin,67.0,39.0,134.0,81.0,1000.0,18.0
2,0.5666666666666667,0.2,0.05,larger_means,74.0,60.0,135.0,90.0,1000.0,18.0
2,0.5666666666666667,0.3,0.01,round_robin,61.0,42.0,126.0,83.0,1000.0,14.0
2,0.5666666666666667,0.3,0.01,larger_means,49.0,39.0,133.0,81.0,1000.0,23.0
2,0.5666666666666667,0.3,0.05,round_robin,59.0,39.0,142.0,97.0,1000.0,14.0
2,0.5666666666666667,0.3,0.05,larger_means,82.0,78.0,122.0,78.0,1000.0,32.0
2,0.5888888888888889,0.0,0.01,round_robin,47.0,31.0,93.0,61.0,1000.0,12.0
2,0.5888888888888889,0.0,0.01,larger_means,47.0,31.0,93.0,62.0,1000.0,25.0
2,0.5888888888888889,0.0,0.05,round_robin,48.0,32.0,98.0,67.0,1000.0,11.0
2,0.5888888888888889,0.0,0.05,larger_means,44.0,29.0,98.0,67.0,1000.0,15.0
2,0.5888888888888889,0.1,0.01,round_robin,51.0,36.0,92.0,62.0,1000.0,12.0
2,0.5888888888888889,0.1,0.01,larger_means,49.0,31.0,94.0,62.0,1000.0,13.0
2,0.5888888888888889,0.1,0.05,round_robin,43.0,30.0,92.0,59.0,1000.0,13.0
2,0.5888888888888889,0.1,0.05,larger_means,45.0,30.0,97.0,67.0,1000.0,16.0
2,0.5888888888888889,0.2,0.01,round_robin,48.0,36.0,91.0,60.0,1000.0,12.0
2,0.5888888888888889,0.2,0.01,larger_means,42.0,28.0,95.0,63.0,1000.0,31.0
2,0.5888888888888889,0.2,0.05,round_robin,46.0,32.0,98.0,67.0,1000.0,12.0
2,0.5888888888888889,0.2,0.05,larger_means,68.0,52.0,109.0,67.0,1000.0,15.0
2,0.5888888888888889,0.3,0.01,round_robin,56.0,45.0,92.0,62.0,1000.0,12.0
2,0.5888888888888889,0.3,0.01,larger_means,69.0,54.0,97.0,61.0,894.0,12.0
2,0.5888888888888889,0.3,0.05,round_robin,92.0,82.0,90.0,63.0,1000.0,10.0
2,0.5888888888888889,0.3,0.05,larger_means,43.0,30.0,97.0,58.0,892.0,10.0
2,0.611111111111111,0.0,0.01,round_robin,39.0,26.0,76.0,50.0,190.0,10.0
2,0.611111111111111,0.0,0.01,larger_means,38.0,26.0,75.0,49.0,66.0,26.0
2,0.611111111111111,0.0,0.05,round_robin,34.0,23.0,74.0,52.0,156.0,10.0
2,0.611111111111111,0.0,0.05,larger_means,39.0,26.0,72.0,47.0,55.0,12.0
2,0.611111111111111,0.1,0.01,round_robin,40.0,27.0,77.0,51.0,1000.0,10.0
2,0.611111111111111,0.1,0.01,larger_means,39.0,27.0,78.0,51.0,86.0,11.0
2,0.611111111111111,0.1,0.05,round_robin,38.0,28.0,69.0,46.0,1000.0,10.0
2,0.611111111111111,0.1,0.05,larger_means,40.0,27.0,76.0,51.0,46.0,11.0
2,0.611111111111111,0.2,0.01,round_robin,32.0,18.0,76.0,50.0,1000.0,10.0
2,0.611111111111111,0.2,0.01,larger_means,43.0,29.0,77.0,52.0,888.0,12.0
2,0.611111111111111,0.2,0.05,round_robin,38.0,24.0,75.0,50.0,1000.0,8.0
2,0.611111111111111,0.2,0.05,larger_means,42.0,25.0,77.0,49.0,42.0,9.0
2,0.611111111111111,0.3,0.01,round_robin,29.0,22.0,75.0,50.0,1000.0,10.0
2,0.611111111111111,0.3,0.01,larger_means,45.0,32.0,75.0,49.0,158.0,11.0
2,0.611111111111111,0.3,0.05,round_robin,35.0,26.0,76.0,50.0,1000.0,10.0
2,0.611111111111111,0.3,0.05,larger_means,38.0,22.0,74.0,50.0,95.0,60.0
2,0.6333333333333333,0.0,0.01,round_robin,32.0,22.0,63.0,42.0,90.0,9.0
2,0.6333333333333333,0.0,0.01,larger_means,32.0,21.0,65.0,43.0,195.0,12.0
2,0.6333333333333333,0.0,0.05,round_robin,33.0,23.0,61.0,42.0,92.0,8.0
2,0.6333333333333333,0.0,0.05,larger_means,33.0,23.0,70.0,44.0,293.0,11.0
2,0.6333333333333333,0.1,0.01,round_robin,35.0,23.0,64.0,43.0,152.0,8.0
2,0.6333333333333333,0.1,0.01,larger_means,33.0,21.0,64.0,42.0,61.0,12.0
2,0.6333333333333333,0.1,0.05,round_robin,36.0,24.0,69.0,47.0,182.0,10.0
2,0.6333333333333333,0.1,0.05,larger_means,34.0,21.0,67.0,48.0,331.0,11.0
2,0.6333333333333333,0.2,0.01,round_robin,35.0,24.0,63.0,43.0,810.0,8.0
2,0.6333333333333333,0.2,0.01,larger_means,32.0,22.0,71.0,43.0,77.0,16.0
2,0.6333333333333333,0.2,0.05,round_robin,29.0,18.0,64.0,44.0,474.0,10.0
2,0.6333333333333333,0.2,0.05,larger_means,39.0,33.0,65.0,44.0,429.0,13.0
2,0.6333333333333333,0.3,0.01,round_robin,37.0,28.0,63.0,42.0,1000.0,8.0
2,0.6333333333333333,0.3,0.01,larger_means,32.0,26.0,66.0,43.0,180.0,12.0
2,0.6333333333333333,0.3,0.05,round_robin,27.0,21.0,63.0,43.0,1000.0,8.0
2,0.6333333333333333,0.3,0.05,larger_means,37.0,26.0,72.0,46.0,476.0,26.0
2,0.6555555555555554,0.0,0.01,round_robin,28.0,19.0,55.0,37.0,60.0,8.0
2,0.6555555555555554,0.0,0.01,larger_means,27.0,18.0,54.0,36.0,34.0,11.0
2,0.6555555555555554,0.0,0.05,round_robin,28.0,19.0,60.0,40.0,83.0,9.0
2,0.6555555555555554,0.0,0.05,larger_means,30.0,21.0,60.0,40.0,56.0,9.0
2,0.6555555555555554,0.1,0.01,round_robin,27.0,17.0,55.0,38.0,84.0,8.0
2,0.6555555555555554,0.1,0.01,larger_means,25.0,17.0,55.0,38.0,146.0,10.0
2,0.6555555555555554,0.1,0.05,round_robin,24.0,17.0,52.0,36.0,66.0,6.0
2,0.6555555555555554,0.1,0.05,larger_means,31.0,21.0,59.0,36.0,81.0,7.0
2,0.6555555555555554,0.2,0.01,round_robin,23.0,17.0,54.0,37.0,134.0,7.0
2,0.6555555555555554,0.2,0.01,larger_means,31.0,22.0,61.0,37.0,63.0,11.0
2,0.6555555555555554,0.2,0.05,round_robin,27.0,18.0,51.0,35.0,128.0,8.0
2,0.6555555555555554,0.2,0.05,larger_means,28.0,20.0,57.0,38.0,117.0,20.0
2,0.6555555555555554,0.3,0.01,round_robin,24.0,15.0,54.0,37.0,646.0,8.0
2,0.6555555555555554,0.3,0.01,larger_means,32.0,28.0,64.0,36.0,181.0,8.0
2,0.6555555555555554,0.3,0.05,round_robin,25.0,16.0,55.0,38.0,860.0,6.0
2,0.6555555555555554,0.3,0.05,larger_means,34.0,23.0,60.0,36.0,111.0,6.0
2,0.6777777777777777,0.0,0.01,round_robin,24.0,16.0,48.0,33.0,46.0,6.0
2,0.6777777777777777,0.0,0.01,larger_means,25.0,17.0,49.0,35.0,35.0,6.0
2,0.6777777777777777,0.0,0.05,round_robin,24.0,16.0,49.0,32.0,48.0,5.0
2,0.6777777777777777,0.0,0.05,larger_means,27.0,19.0,48.0,34.0,71.0,7.0
2,0.6777777777777777,0.1,0.01,round_robin,25.0,16.0,48.0,32.0,58.0,6.0
2,0.6777777777777777,0.1,0.01,larger_means,23.0,15.0,51.0,36.0,37.0,7.0
2,0.6777777777777777,0.1,0.05,round_robin,23.0,15.0,51.0,32.0,68.0,8.0
2,0.6777777777777777,0.1,0.05,larger_means,25.0,17.0,50.0,32.0,31.0,6.0
2,0.6777777777777777,0.2,0.01,round_robin,23.0,14.0,48.0,32.0,76.0,6.0
2,0.6777777777777777,0.2,0.01,larger_means,24.0,17.0,49.0,33.0,95.0,12.0
2,0.6777777777777777,0.2,0.05,round_robin,21.0,14.0,50.0,33.0,92.0,6.0
2,0.6777777777777777,0.2,0.05,larger_means,27.0,21.0,53.0,37.0,27.0,9.0
2,0.6777777777777777,0.3,0.01,round_robin,29.0,24.0,48.0,33.0,132.0,6.0
2,0.6777777777777777,0.3,0.01,larger_means,26.0,15.0,52.0,33.0,56.0,17.0
2,0.6777777777777777,0.3,0.05,round_robin,20.0,13.0,44.0,30.0,98.0,6.0
2,0.6777777777777777,0.3,0.05,larger_means,19.0,14.0,51.0,33.0,32.0,8.0
2,0.7,0.0,0.01,round_robin,21.0,15.0,44.0,29.0,38.0,6.0
2,0.7,0.0,0.01,larger_means,22.0,15.0,44.0,29.0,142.0,9.0
2,0.7,0.0,0.05,round_robin,23.0,16.0,43.0,30.0,38.0,6.0
2,0.7,0.0,0.05,larger_means,22.0,15.0,43.0,29.0,27.0,12.0
2,0.7,0.1,0.01,round_robin,24.0,16.0,43.0,30.0,44.0,6.0
2,0.7,0.1,0.01,larger_means,21.0,14.0,44.0,30.0,30.0,6.0
2,0.7,0.1,0.05,round_robin,23.0,15.0,46.0,31.0,50.0,6.0
2,0.7,0.1,0.05,larger_means,23.0,16.0,46.0,32.0,39.0,6.0
2,0.7,0.2,0.01,round_robin,24.0,19.0,44.0,29.0,54.0,6.0
2,0.7,0.2,0.01,larger_means,21.0,16.0,45.0,30.0,44.0,8.0
2,0.7,0.2,0.05,round_robin,20.0,15.0,44.0,29.0,58.0,6.0
2,0.7,0.2,0.05,larger_means,24.0,17.0,43.0,29.0,51.0,6.0
2,0.7,0.3,0.01,round_robin,23.0,17.0,43.0,30.0,78.0,6.0
2,0.7,0.3,0.01,larger_means,19.0,14.0,47.0,29.0,45.0,8.0
2,0.7,0.3,0.05,round_robin,27.0,19.0,43.0,28.0,72.0,6.0
2,0.7,0.3,0.05,larger_means,19.0,12.0,49.0,28.0,30.0,5.0
5,0.5,0.0,0.01,round_robin,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
5,0.5,0.0,0.01,larger_means,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
5,0.5,0.0,0.05,round_robin,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
5,0.5,0.0,0.05,larger_means,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
5,0.5,0.1,0.01,round_robin,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
5,0.5,0.1,0.01,larger_means,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
5,0.5,0.1,0.05,round_robin,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
5,0.5,0.1,0.05,larger_means,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
5,0.5,0.2,0.01,round_robin,1000.0,1000.0,1000.0,1000.0,1000.0,295.0
5,0.5,0.2,0.01,larger_means,1000.0,1000.0,1000.0,1000.0,1000.0,979.0
5,0.5,0.2,0.05,round_robin,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
5,0.5,0.2,0.05,larger_means,1000.0,1000.0,1000.0,1000.0,1000.0,989.0
5,0.5,0.3,0.01,round_robin,1000.0,1000.0,1000.0,1000.0,1000.0,155.0
5,0.5,0.3,0.01,larger_means,1000.0,1000.0,1000.0,1000.0,1000.0,961.0
5,0.5,0.3,0.05,round_robin,1000.0,1000.0,1000.0,1000.0,1000.0,175.0
5,0.5,0.3,0.05,larger_means,1000.0,1000.0,1000.0,1000.0,1000.0,142.0
5,0.5222222222222223,0.0,0.01,round_robin,188.0,144.0,898.0,641.0,1000.0,49.0
5,0.5222222222222223,0.0,0.01,larger_means,180.0,127.0,867.0,625.0,1000.0,170.0
5,0.5222222222222223,0.0,0.05,round_robin,189.0,118.0,816.0,563.0,1000.0,39.0
5,0.5222222222222223,0.0,0.05,larger_means,253.0,239.0,857.0,679.0,1000.0,109.0
5,0.5222222222222223,0.1,0.01,round_robin,217.0,182.0,925.0,678.0,1000.0,55.0
5,0.5222222222222223,0.1,0.01,larger_means,180.0,119.0,902.0,657.0,1000.0,155.0
5,0.5222222222222223,0.1,0.05,round_robin,185.0,122.0,951.0,737.0,1000.0,74.0
5,0.5222222222222223,0.1,0.05,larger_means,161.0,123.0,963.0,796.0,1000.0,344.0
5,0.5222222222222223,0.2,0.01,round_robin,197.0,157.0,901.0,673.0,1000.0,45.0
5,0.5222222222222223,0.2,0.01,larger_means,163.0,123.0,869.0,631.0,1000.0,72.0
5,0.5222222222222223,0.2,0.05,round_robin,223.0,177.0,851.0,600.0,1000.0,45.0
5,0.5222222222222223,0.2,0.05,larger_means,206.0,198.0,933.0,690.0,1000.0,124.0
5,0.5222222222222223,0.3,0.01,round_robin,237.0,236.0,903.0,684.0,1000.0,40.0
5,0.5222222222222223,0.3,0.01,larger_means,292.0,296.0,918.0,670.0,1000.0,248.0
5,0.5222222222222223,0.3,0.05,round_robin,243.0,315.0,967.0,830.0,1000.0,65.0
5,0.5222222222222223,0.3,0.05,larger_means,206.0,208.0,852.0,623.0,1000.0,192.0
5,0.5444444444444444,0.0,0.01,round_robin,93.0,62.0,459.0,303.0,1000.0,29.0
5,0.5444444444444444,0.0,0.01,larger_means,93.0,64.0,462.0,306.0,1000.0,40.0
5,0.5444444444444444,0.0,0.05,round_robin,87.0,70.0,502.0,356.0,1000.0,30.0
5,0.5444444444444444,0.0,0.05,larger_means,90.0,60.0,514.0,359.0,1000.0,30.0
5,0.5444444444444444,0.1,0.01,round_robin,94.0,58.0,450.0,303.0,1000.0,25.0
5,0.5444444444444444,0.1,0.01,larger_means,84.0,61.0,459.0,309.0,1000.0,59.0
5,0.5444444444444444,0.1,0.05,round_robin,101.0,70.0,505.0,354.0,1000.0,35.0
5,0.5444444444444444,0.1,0.05,larger_means,102.0,71.0,514.0,335.0,1000.0,102.0
5,0.5444444444444444,0.2,0.01,round_robin,83.0,64.0,455.0,309.0,1000.0,25.0
5,0.5444444444444444,0.2,0.01,larger_means,90.0,60.0,460.0,302.0,1000.0,67.0
5,0.5444444444444444,0.2,0.05,round_robin,110.0,62.0,467.0,323.0,1000.0,25.0
5,0.5444444444444444,0.2,0.05,larger_means,74.0,53.0,463.0,297.0,1000.0,42.0
5,0.5444444444444444,0.3,0.01,round_robin,74.0,57.0,455.0,308.0,1000.0,20.0
5,0.5444444444444444,0.3,0.01,larger_means,90.0,66.0,463.0,313.0,1000.0,43.0
5,0.5444444444444444,0.3,0.05,round_robin,87.0,61.0,480.0,335.0,1000.0,20.0
5,0.5444444444444444,0.3,0.05,larger_means,111.0,100.0,456.0,304.0,1000.0,29.0
5,0.5666666666666667,0.0,0.01,round_robin,60.0,41.0,308.0,203.0,1000.0,19.0
5,0.5666666666666667,0.0,0.01,larger_means,61.0,40.0,313.0,205.0,1000.0,32.0
5,0.5666666666666667,0.0,0.05,round_robin,65.0,46.0,330.0,217.0,1000.0,22.0
5,0.5666666666666667,0.0,0.05,larger_means,68.0,43.0,332.0,225.0,1000.0,94.0
5,0.5666666666666667,0.1,0.01,round_robin,61.0,39.0,312.0,206.0,1000.0,19.0
5,0.5666666666666667,0.1,0.01,larger_means,58.0,39.0,320.0,204.0,1000.0,35.0
5,0.5666666666666667,0.1,0.05,round_robin,76.0,52.0,296.0,196.0,1000.0,15.0
5,0.5666666666666667,0.1,0.05,larger_means,57.0,39.0,318.0,214.0,1000.0,32.0
5,0.5666666666666667,0.2,0.01,round_robin,64.0,37.0,306.0,204.0,1000.0,19.0
