eta,alt,delta,method,bet,allocation,stopping_time
"[0, 1]",0.51,0.0,product,fixed,round_robin,100
"[1, 0]",0.51,0.0,product,fixed,round_robin,100
"[0.5, 0.5]",0.51,0.0,product,fixed,round_robin,100
"[0.5, 0.5]",0.51,0.0,product,fixed,round_robin,100
"[0, 1]",0.51,0.0,product,fixed,larger_means,100
"[1, 0]",0.51,0.0,product,fixed,larger_means,100
"[0.5, 0.5]",0.51,0.0,product,fixed,larger_means,100
"[0.5, 0.5]",0.51,0.0,product,fixed,larger_means,100
"[0, 1]",0.51,0.0,product,fixed,predictable_kelly,17
"[1, 0]",0.51,0.0,product,fixed,predictable_kelly,17
"[0.5, 0.5]",0.51,0.0,product,fixed,predictable_kelly,100
"[0.5, 0.5]",0.51,0.0,product,fixed,predictable_kelly,100
"[0, 1]",0.51,0.0,product,agrapa,round_robin,9
"[1, 0]",0.51,0.0,product,agrapa,round_robin,10
"[0.5, 0.5]",0.51,0.0,product,agrapa,round_robin,100
"[0.5, 0.5]",0.51,0.0,product,agrapa,round_robin,100
"[0, 1]",0.51,0.0,product,agrapa,larger_means,9
"[1, 0]",0.51,0.0,product,agrapa,larger_means,10
"[0.5, 0.5]",0.51,0.0,product,agrapa,larger_means,100
"[0.5, 0.5]",0.51,0.0,product,agrapa,larger_means,100
"[0, 1]",0.51,0.0,product,agrapa,predictable_kelly,8
"[1, 0]",0.51,0.0,product,agrapa,predictable_kelly,8
"[0.5, 0.5]",0.51,0.0,product,agrapa,predictable_kelly,100
"[0.5, 0.5]",0.51,0.0,product,agrapa,predictable_kelly,100
"[0, 1]",0.51,0.0,product,smooth_predictable,round_robin,21
"[1, 0]",0.51,0.0,product,smooth_predictable,round_robin,26
"[0.5, 0.5]",0.51,0.0,product,smooth_predictable,round_robin,100
"[0.5, 0.5]",0.51,0.0,product,smooth_predictable,round_robin,100
"[0, 1]",0.51,0.0,product,smooth_predictable,larger_means,21
