K,global_mean,delta,sd,mean_stop_lcb,percentile90_stop_lcb,mean_stop_uinnsm,percentile90_stop_uinnsm
2,0.5,0.0,0.01,2000.0,2000.0,2000.0,2000.0
2,0.5,0.0,0.05,2000.0,2000.0,2000.0,2000.0
2,0.5,0.0,0.1,1998.5,2000.0,2000.0,2000.0
2,0.5,0.1,0.01,2000.0,2000.0,2000.0,2000.0
2,0.5,0.1,0.05,2000.0,2000.0,2000.0,2000.0
2,0.5,0.1,0.1,1995.095,2000.0,2000.0,2000.0
2,0.5,0.2,0.01,2000.0,2000.0,2000.0,2000.0
2,0.5,0.2,0.05,2000.0,2000.0,2000.0,2000.0
2,0.5,0.2,0.1,2000.0,2000.0,2000.0,2000.0
2,0.5222222222222223,0.0,0.01,360.245,371.0,2000.0,2000.0
2,0.5222222222222223,0.0,0.05,374.725,436.69999999999993,2000.0,2000.0
2,0.5222222222222223,0.0,0.1,429.665,573.4,2000.0,2000.0
2,0.5222222222222223,0.1,0.01,360.445,372.0,2000.0,2000.0
2,0.5222222222222223,0.1,0.05,375.135,428.0,2000.0,2000.0
2,0.5222222222222223,0.1,0.1,452.325,609.5,2000.0,2000.0
2,0.5222222222222223,0.2,0.01,360.055,371.0,2000.0,2000.0
2,0.5222222222222223,0.2,0.05,373.87,424.2,2000.0,2000.0
2,0.5222222222222223,0.2,0.1,443.23,601.1,2000.0,2000.0
2,0.5444444444444444,0.0,0.01,182.725,187.0,2000.0,2000.0
2,0.5444444444444444,0.0,0.05,187.29,208.0,2000.0,2000.0
2,0.5444444444444444,0.0,0.1,197.365,241.39999999999998,2000.0,2000.0
2,0.5444444444444444,0.1,0.01,182.205,186.0,2000.0,2000.0
2,0.5444444444444444,0.1,0.05,187.89,205.1,2000.0,2000.0
2,0.5444444444444444,0.1,0.1,198.405,241.0,2000.0,2000.0
2,0.5444444444444444,0.2,0.01,182.295,186.0,2000.0,2000.0
2,0.5444444444444444,0.2,0.05,184.495,202.1,2000.0,2000.0
2,0.5444444444444444,0.2,0.1,204.745,252.0,2000.0,2000.0
2,0.5666666666666667,0.0,0.01,122.9,125.0,2000.0,2000.0
2,0.5666666666666667,0.0,0.05,124.95,136.0,2000.0,2000.0
2,0.5666666666666667,0.0,0.1,130.035,154.0,2000.0,2000.0
2,0.5666666666666667,0.1,0.01,122.725,125.0,2000.0,2000.0
2,0.5666666666666667,0.1,0.05,124.85,137.0,2000.0,2000.0
2,0.5666666666666667,0.1,0.1,130.88,155.1,2000.0,2000.0
2,0.5666666666666667,0.2,0.01,122.99,125.0,2000.0,2000.0
2,0.5666666666666667,0.2,0.05,125.44,136.0,2000.0,2000.0
2,0.5666666666666667,0.2,0.1,131.05,152.1,2000.0,2000.0
2,0.5888888888888889,0.0,0.01,93.125,94.0,2000.0,2000.0
2,0.5888888888888889,0.0,0.05,94.51,101.0,2000.0,2000.0
2,0.5888888888888889,0.0,0.1,98.305,113.0,1982.92,2000.0
