alt,N_k,K,method,bet,allocation,stopping_time,sample_size,run_time
0.6,10,2,lcb,smooth_predictable,round_robin,20,20,0.9613935947418213
0.6,10,2,uits,smooth_predictable,round_robin,20,20,1.2179150581359863
0.6,10,3,lcb,smooth_predictable,round_robin,30,30,1.4360954761505127
0.6,10,3,uits,smooth_predictable,round_robin,30,30,2.3380606174468994
0.6,10,5,lcb,smooth_predictable,round_robin,50,50,2.393690586090088
0.6,10,5,uits,smooth_predictable,round_robin,34,34,6.581217050552368
0.6,10,10,lcb,smooth_predictable,round_robin,100,100,4.776581048965454
0.6,10,10,uits,smooth_predictable,round_robin,38,38,26.30274772644043
0.6,10,50,lcb,smooth_predictable,round_robin,500,500,23.957145929336548
0.6,10,50,uits,smooth_predictable,round_robin,50,50,674.0783061981201
0.6,50,2,lcb,smooth_predictable,round_robin,75,75,0.9777286052703857
0.6,50,2,uits,smooth_predictable,round_robin,32,32,7.078330039978027
0.6,50,3,lcb,smooth_predictable,round_robin,113,113,1.4615919589996338
0.6,50,3,uits,smooth_predictable,round_robin,33,33,14.824063301086426
0.6,50,5,lcb,smooth_predictable,round_robin,187,187,2.435784339904785
0.6,50,5,uits,smooth_predictable,round_robin,34,34,38.62026762962341
0.6,50,10,lcb,smooth_predictable,round_robin,374,374,4.895953893661499
0.6,50,10,uits,smooth_predictable,round_robin,38,38,147.83765649795532
0.6,50,50,lcb,smooth_predictable,round_robin,1867,1867,24.85553789138794
0.6,50,50,uits,smooth_predictable,round_robin,50,50,3541.794732093811
0.6,100,2,lcb,smooth_predictable,round_robin,75,75,1.0066988468170166
0.6,100,2,uits,smooth_predictable,round_robin,32,32,14.79880142211914
0.6,100,3,lcb,smooth_predictable,round_robin,113,113,1.5169260501861572
0.6,100,3,uits,smooth_predictable,round_robin,33,33,30.680306434631348
0.6,100,5,lcb,smooth_predictable,round_robin,187,187,2.497199773788452
0.6,100,5,uits,smooth_predictable,round_robin,34,34,79.47334408760071
0.6,100,10,lcb,smooth_predictable,round_robin,374,374,5.070709466934204
0.6,100,10,uits,smooth_predictable,round_robin,38,38,302.90376377105713
0.6,100,50,lcb,smooth_predictable,round_robin,1867,1867,25.7712881565094
0.6,100,50,uits,smooth_predictable,round_robin,50,50,7533.576708555222
0.6,500,2,lcb,smooth_predictable,round_robin,75,75,1.2898423671722412
0.6,500,2,uits,smooth_predictable,round_robin,32,32,84.01966118812561
0.6,500,3,lcb,smooth_predictable,round_robin,113,113,1.9435746669769287
0.6,500,3,uits,smooth_predictable,round_robin,33,33,174.5007839202881
0.6,500,5,lcb,smooth_predictable,round_robin,187,187,3.2344810962677
0.6,500,5,uits,smooth_predictable,round_robin,34,34,450.8722529411316
0.6,500,10,lcb,smooth_predictable,round_robin,374,374,6.352475643157959
0.6,500,10,uits,smooth_predictable,round_robin,38,38,1798.3719818592072
0.6,500,50,lcb,smooth_predictable,round_robin,1867,1867,34.83193492889404
0.6,500,50,uits,smooth_predictable,round_robin,50,50,45038.02147603035
0.6,1000,2,lcb,smooth_predictable,round_robin,75,75,1.5563750267028809
0.6,1000,2,uits,smooth_predictable,round_robin,32,32,183.1890630722046
0.6,1000,3,lcb,smooth_predictable,round_robin,113,113,2.344590425491333
0.6,1000,3,uits,smooth_predictable,round_robin,33,33,382.43534541130066
0.6,1000,5,lcb,smooth_predictable,round_robin,187,187,3.920717239379883
0.6,1000,5,uits,smooth_predictable,round_robin,34,34,1051.2356221675873
0.6,1000,10,lcb,smooth_predictable,round_robin,374,374,7.975088596343994
0.6,1000,10,uits,smooth_predictable,round_robin,38,38,4125.272671222687
0.6,1000,50,lcb,smooth_predictable,round_robin,1867,1867,44.637134313583374
0.6,1000,50,uits,smooth_predictable,round_robin,50,50,71678.97700476646
