alt,n_bands,delta,method,bet,allocation,stopping_time,sample_size,run_time,worst_case_eta
0.51,1,0.0,uinnsm_product,fixed_predictable,round_robin,400,400.0,-0.04841780662536621,[0.5 0.5]
0.51,3,0.0,uinnsm_product,fixed_predictable,round_robin,400,400.0,-0.14270544052124023,[0.5 0.5]
0.51,10,0.0,uinnsm_product,fixed_predictable,round_robin,400,400.0,-0.48932886123657227,[0.65 0.35]
0.51,100,0.0,uinnsm_product,fixed_predictable,round_robin,400,400.0,-6.283306121826172,[0.645 0.355]
0.51,500,0.0,uinnsm_product,fixed_predictable,round_robin,400,400.0,-36.903435707092285,[0.649 0.351]
0.51,1,0.0,uinnsm_product,fixed_predictable,predictable_kelly,400,400.0,-0.35324907302856445,[0.5 0.5]
0.51,3,0.0,uinnsm_product,fixed_predictable,predictable_kelly,400,400.0,-1.0520501136779785,[0.5 0.5]
0.51,10,0.0,uinnsm_product,fixed_predictable,predictable_kelly,336,400.0,-3.5078210830688477,[0.45 0.55]
0.51,100,0.0,uinnsm_product,fixed_predictable,predictable_kelly,336,400.0,-35.34528160095215,[0.495 0.505]
0.51,500,0.0,uinnsm_product,fixed_predictable,predictable_kelly,336,400.0,-176.7973370552063,[0.499 0.501]
0.51,1,0.0,uinnsm_product,fixed_predictable,greedy_kelly,400,400.0,-0.792205810546875,[0.5 0.5]
0.51,3,0.0,uinnsm_product,fixed_predictable,greedy_kelly,400,400.0,-1.732816457748413,[0.16666667 0.83333333]
0.51,10,0.0,uinnsm_product,fixed_predictable,greedy_kelly,400,400.0,-5.025943994522095,[0.05 0.95]
0.51,100,0.0,uinnsm_product,fixed_predictable,greedy_kelly,400,400.0,-47.635404109954834,[0.005 0.995]
0.51,500,0.0,uinnsm_product,fixed_predictable,greedy_kelly,400,400.0,-237.68915128707886,[0.001 0.999]
0.51,1,0.0,uinnsm_product,agrapa,round_robin,400,400.0,-0.07515096664428711,[0.5 0.5]
0.51,3,0.0,uinnsm_product,agrapa,round_robin,400,400.0,-0.22094225883483887,[0.5 0.5]
0.51,10,0.0,uinnsm_product,agrapa,round_robin,340,340.0,-0.7352604866027832,[0.45 0.55]
