alt,n_bands,delta,method,bet,allocation,stopping_time,sample_size,run_time,worst_case_eta
0.51,1,0.0,uinnsm_product,fixed_predictable,round_robin,400,400.0,-0.05295443534851074,[0.5 0.5]
0.51,3,0.0,uinnsm_product,fixed_predictable,round_robin,400,400.0,-0.15340518951416016,[0.5 0.5]
0.51,10,0.0,uinnsm_product,fixed_predictable,round_robin,400,400.0,-0.5152888298034668,[0.65 0.35]
0.51,100,0.0,uinnsm_product,fixed_predictable,round_robin,400,400.0,-5.095964431762695,[0.645 0.355]
0.51,500,0.0,uinnsm_product,fixed_predictable,round_robin,400,400.0,-25.50000762939453,[0.649 0.351]
0.51,1,0.0,uinnsm_product,fixed_predictable,predictable_kelly,400,400.0,-0.31966567039489746,[0.5 0.5]
0.51,3,0.0,uinnsm_product,fixed_predictable,predictable_kelly,400,400.0,-0.9452416896820068,[0.5 0.5]
0.51,10,0.0,uinnsm_product,fixed_predictable,predictable_kelly,335,400.0,-3.1451382637023926,[0.45 0.55]
0.51,100,0.0,uinnsm_product,fixed_predictable,predictable_kelly,335,400.0,-31.62014126777649,[0.495 0.505]
0.51,500,0.0,uinnsm_product,fixed_predictable,predictable_kelly,335,400.0,-158.75867199897766,[0.499 0.501]
0.51,1,0.0,uinnsm_product,fixed_predictable,greedy_kelly,400,400.0,-0.735276460647583,[0.5 0.5]
0.51,3,0.0,uinnsm_product,fixed_predictable,greedy_kelly,400,400.0,-1.592055082321167,[0.16666667 0.83333333]
0.51,10,0.0,uinnsm_product,fixed_predictable,greedy_kelly,400,400.0,-4.577109098434448,[0.05 0.95]
0.51,100,0.0,uinnsm_product,fixed_predictable,greedy_kelly,400,400.0,-43.09429907798767,[0.005 0.995]
0.51,500,0.0,uinnsm_product,fixed_predictable,greedy_kelly,400,400.0,-214.6255407333374,[0.001 0.999]
0.51,1,0.0,uinnsm_product,agrapa,round_robin,400,400.0,-0.05372047424316406,[0.5 0.5]
0.51,3,0.0,uinnsm_product,agrapa,round_robin,400,400.0,-0.15627741813659668,[0.5 0.5]
0.51,10,0.0,uinnsm_product,agrapa,round_robin,400,400.0,-0.5183196067810059,[0.45 0.55]
0.51,100,0.0,uinnsm_product,agrapa,round_robin,400,400.0,-5.207135915756226,[0.495 0.505]
0.51,500,0.0,uinnsm_product,agrapa,round_robin,288,288.0,-26.126506805419922,[0.495 0.505]
0.51,1,0.0,uinnsm_product,agrapa,predictable_kelly,400,400.0,-0.31495165824890137,[0.5 0.5]
0.51,3,0.0,uinnsm_product,agrapa,predictable_kelly,400,400.0,-0.9433867931365967,[0.5 0.5]
0.51,10,0.0,uinnsm_product,agrapa,predictable_kelly,400,400.0,-3.1607141494750977,[0.45 0.55]
0.51,100,0.0,uinnsm_product,agrapa,predictable_kelly,400,400.0,-31.745909929275513,[0.495 0.505]
0.51,500,0.0,uinnsm_product,agrapa,predictable_kelly,275,400.0,-159.19924235343933,[0.499 0.501]
0.51,1,0.0,uinnsm_product,agrapa,greedy_kelly,400,400.0,-0.7273068428039551,[0.5 0.5]
0.51,3,0.0,uinnsm_product,agrapa,greedy_kelly,400,400.0,-1.5887184143066406,[0.5 0.5]
0.51,10,0.0,uinnsm_product,agrapa,greedy_kelly,400,400.0,-4.5596582889556885,[0.45 0.55]
0.51,100,0.0,uinnsm_product,agrapa,greedy_kelly,400,400.0,-42.74565935134888,[0.495 0.505]
0.51,500,0.0,uinnsm_product,agrapa,greedy_kelly,288,288.0,-214.32208347320557,[0.495 0.505]
0.51,1,0.0,uinnsm_product,smooth_predictable,round_robin,400,400.0,-0.05288958549499512,[0.5 0.5]
0.51,3,0.0,uinnsm_product,smooth_predictable,round_robin,400,400.0,-0.15258169174194336,[0.5 0.5]
0.51,10,0.0,uinnsm_product,smooth_predictable,round_robin,318,318.0,-0.5049898624420166,[0.45 0.55]
0.51,100,0.0,uinnsm_product,smooth_predictable,round_robin,306,306.0,-5.052064895629883,[0.495 0.505]
0.51,500,0.0,uinnsm_product,smooth_predictable,round_robin,304,304.0,-25.220494031906128,[0.499 0.501]
0.51,1,0.0,uinnsm_product,smooth_predictable,predictable_kelly,400,400.0,-0.31814026832580566,[0.5 0.5]
0.51,3,0.0,uinnsm_product,smooth_predictable,predictable_kelly,400,400.0,-0.9500949382781982,[0.5 0.5]
0.51,10,0.0,uinnsm_product,smooth_predictable,predictable_kelly,314,400.0,-3.1656270027160645,[0.45 0.55]
