alt,rep,delta,method,bet,allocation,stopping_time,sample_size,worst_case_eta
0.6,5_0,0.5,lcb,fixed,round_robin,135,135,
0.6,5_1,0.5,lcb,fixed,round_robin,118,118,
0.6,5_2,0.5,lcb,fixed,round_robin,181,181,
0.6,5_3,0.5,lcb,fixed,round_robin,253,253,
0.6,5_4,0.5,lcb,fixed,round_robin,153,153,
0.6,5_5,0.5,lcb,fixed,round_robin,93,93,
0.6,5_6,0.5,lcb,fixed,round_robin,283,283,
0.6,5_7,0.5,lcb,fixed,round_robin,399,399,
0.6,5_8,0.5,lcb,fixed,round_robin,387,387,
0.6,5_9,0.5,lcb,fixed,round_robin,217,217,
0.6,5_0,0.5,lcb,agrapa,round_robin,319,319,
0.6,5_1,0.5,lcb,agrapa,round_robin,399,399,
0.6,5_2,0.5,lcb,agrapa,round_robin,399,399,
0.6,5_3,0.5,lcb,agrapa,round_robin,399,399,
0.6,5_4,0.5,lcb,agrapa,round_robin,399,399,
0.6,5_5,0.5,lcb,agrapa,round_robin,399,399,
0.6,5_6,0.5,lcb,agrapa,round_robin,399,399,
0.6,5_7,0.5,lcb,agrapa,round_robin,301,301,
0.6,5_8,0.5,lcb,agrapa,round_robin,399,399,
0.6,5_9,0.5,lcb,agrapa,round_robin,399,399,
0.6,5_0,0.5,lcb,bernoulli,round_robin,166,166,
0.6,5_1,0.5,lcb,bernoulli,round_robin,73,73,
0.6,5_2,0.5,lcb,bernoulli,round_robin,157,157,
0.6,5_3,0.5,lcb,bernoulli,round_robin,65,65,
0.6,5_4,0.5,lcb,bernoulli,round_robin,383,383,
0.6,5_5,0.5,lcb,bernoulli,round_robin,399,399,
0.6,5_6,0.5,lcb,bernoulli,round_robin,399,399,
0.6,5_7,0.5,lcb,bernoulli,round_robin,399,399,
0.6,5_8,0.5,lcb,bernoulli,round_robin,62,62,
0.6,5_9,0.5,lcb,bernoulli,round_robin,209,209,
0.6,5_0,0.5,lcb,ap_bernoulli,round_robin,182,182,
0.6,5_1,0.5,lcb,ap_bernoulli,round_robin,308,308,
0.6,5_2,0.5,lcb,ap_bernoulli,round_robin,138,138,
0.6,5_3,0.5,lcb,ap_bernoulli,round_robin,225,225,
0.6,5_4,0.5,lcb,ap_bernoulli,round_robin,399,399,
0.6,5_5,0.5,lcb,ap_bernoulli,round_robin,170,170,
0.6,5_6,0.5,lcb,ap_bernoulli,round_robin,95,95,
0.6,5_7,0.5,lcb,ap_bernoulli,round_robin,189,189,
0.6,5_8,0.5,lcb,ap_bernoulli,round_robin,235,235,
0.6,5_9,0.5,lcb,ap_bernoulli,round_robin,399,399,
0.6,5_0,0.5,uinnsm_product,fixed,round_robin,399,399.0,[0.99494949 0.00505051]
0.6,5_1,0.5,uinnsm_product,fixed,round_robin,399,399.0,[0.99494949 0.00505051]
0.6,5_2,0.5,uinnsm_product,fixed,round_robin,399,399.0,[0.99494949 0.00505051]
0.6,5_3,0.5,uinnsm_product,fixed,round_robin,399,399.0,[0.99494949 0.00505051]
0.6,5_4,0.5,uinnsm_product,fixed,round_robin,399,399.0,[0.99494949 0.00505051]
0.6,5_5,0.5,uinnsm_product,fixed,round_robin,399,399.0,[0.99494949 0.00505051]
0.6,5_6,0.5,uinnsm_product,fixed,round_robin,399,399.0,[0.99494949 0.00505051]
0.6,5_7,0.5,uinnsm_product,fixed,round_robin,399,399.0,[0.99494949 0.00505051]
0.6,5_8,0.5,uinnsm_product,fixed,round_robin,399,399.0,[0.99494949 0.00505051]
0.6,5_9,0.5,uinnsm_product,fixed,round_robin,399,399.0,[0.99494949 0.00505051]
0.6,5_0,0.5,uinnsm_product,agrapa,round_robin,167,167.0,[0.24747475 0.75252525]
0.6,5_1,0.5,uinnsm_product,agrapa,round_robin,399,399.0,[0.27777778 0.72222222]
0.6,5_2,0.5,uinnsm_product,agrapa,round_robin,399,399.0,[0.2979798 0.7020202]
0.6,5_3,0.5,uinnsm_product,agrapa,round_robin,399,399.0,[0.2979798 0.7020202]
0.6,5_4,0.5,uinnsm_product,agrapa,round_robin,399,399.0,[0.24747475 0.75252525]
0.6,5_5,0.5,uinnsm_product,agrapa,round_robin,399,399.0,[0.30808081 0.69191919]
0.6,5_6,0.5,uinnsm_product,agrapa,round_robin,399,399.0,[0.2979798 0.7020202]
0.6,5_7,0.5,uinnsm_product,agrapa,round_robin,399,399.0,[0.31818182 0.68181818]
0.6,5_8,0.5,uinnsm_product,agrapa,round_robin,399,399.0,[0.28787879 0.71212121]
0.6,5_9,0.5,uinnsm_product,agrapa,round_robin,339,339.0,[0.26767677 0.73232323]
0.6,5_0,0.5,uinnsm_product,bernoulli,round_robin,49,49.0,[0.34848485 0.65151515]
0.6,5_1,0.5,uinnsm_product,bernoulli,round_robin,399,399.0,[0.04545455 0.95454545]
0.6,5_2,0.5,uinnsm_product,bernoulli,round_robin,32,32.0,[0.28787879 0.71212121]
0.6,5_3,0.5,uinnsm_product,bernoulli,round_robin,244,244.0,[0.25757576 0.74242424]
0.6,5_4,0.5,uinnsm_product,bernoulli,round_robin,260,260.0,[0.28787879 0.71212121]
0.6,5_5,0.5,uinnsm_product,bernoulli,round_robin,309,309.0,[0.26767677 0.73232323]
0.6,5_6,0.5,uinnsm_product,bernoulli,round_robin,215,215.0,[0.27777778 0.72222222]
0.6,5_7,0.5,uinnsm_product,bernoulli,round_robin,275,275.0,[0.28787879 0.71212121]
0.6,5_8,0.5,uinnsm_product,bernoulli,round_robin,55,55.0,[0.35858586 0.64141414]
0.6,5_9,0.5,uinnsm_product,bernoulli,round_robin,73,73.0,[0.24747475 0.75252525]
0.6,5_0,0.5,uinnsm_product,ap_bernoulli,round_robin,155,155.0,[0.26767677 0.73232323]
0.6,5_1,0.5,uinnsm_product,ap_bernoulli,round_robin,399,399.0,[0.22727273 0.77272727]
0.6,5_2,0.5,uinnsm_product,ap_bernoulli,round_robin,142,142.0,[0.26767677 0.73232323]
0.6,5_3,0.5,uinnsm_product,ap_bernoulli,round_robin,395,395.0,[0.22727273 0.77272727]
