,K,global_mean,delta,sd,rep,stop_unstrat_fixed,stop_unstrat_agrapa,stop_lcb_fixed,stop_lcb_agrapa,stop_uinnsm_fixed,stop_uinnsm_smooth,stop_uinnsm_smooth_predkelly
0,2,0.5,0.0,0.01,42,1000,1000,1000,1000,1000,1000,1000
1,2,0.5,0.0,0.05,42,1000,1000,1000,1000,1000,1000,1000
2,2,0.5,0.1,0.01,42,1000,1000,1000,1000,1000,1000,1000
3,2,0.5,0.1,0.05,42,1000,1000,1000,1000,1000,1000,1000
4,2,0.5,0.2,0.01,42,1000,1000,1000,1000,1000,1000,1000
5,2,0.5,0.2,0.05,42,1000,1000,1000,1000,1000,1000,1000
6,2,0.5222222222222223,0.0,0.01,42,176,113,347,220,1000,126,126
7,2,0.5222222222222223,0.0,0.05,42,226,178,356,240,1000,99,100
8,2,0.5222222222222223,0.1,0.01,42,183,125,369,233,1000,136,136
9,2,0.5222222222222223,0.1,0.05,42,175,102,388,238,1000,142,142
10,2,0.5222222222222223,0.2,0.01,42,142,106,364,227,1000,134,133
11,2,0.5222222222222223,0.2,0.05,42,353,86,379,233,1000,147,148
12,2,0.5444444444444444,0.0,0.01,42,95,60,182,114,1000,66,66
13,2,0.5444444444444444,0.0,0.05,42,106,74,197,125,1000,68,67
14,2,0.5444444444444444,0.1,0.01,42,94,53,179,113,1000,67,67
15,2,0.5444444444444444,0.1,0.05,42,90,56,169,116,1000,51,52
16,2,0.5444444444444444,0.2,0.01,42,109,85,186,119,1000,68,68
17,2,0.5444444444444444,0.2,0.05,42,66,59,179,120,1000,75,75
18,2,0.5666666666666667,0.0,0.01,42,61,39,121,78,1000,46,45
19,2,0.5666666666666667,0.0,0.05,42,65,45,123,77,1000,47,47
20,2,0.5666666666666667,0.1,0.01,42,73,45,122,78,1000,43,43
21,2,0.5666666666666667,0.1,0.05,42,61,33,124,86,1000,40,40
22,2,0.5666666666666667,0.2,0.01,42,70,48,126,82,1000,46,46
23,2,0.5666666666666667,0.2,0.05,42,64,38,115,78,1000,34,34
24,2,0.5888888888888889,0.0,0.01,42,47,30,92,60,1000,34,33
25,2,0.5888888888888889,0.0,0.05,42,43,27,97,62,1000,34,34
26,2,0.5888888888888889,0.1,0.01,42,48,32,92,60,1000,33,33
27,2,0.5888888888888889,0.1,0.05,42,51,33,82,52,1000,27,26
28,2,0.5888888888888889,0.2,0.01,42,48,38,94,62,1000,34,34
29,2,0.5888888888888889,0.2,0.05,42,63,43,100,66,1000,36,35
30,2,0.611111111111111,0.0,0.01,42,38,25,75,49,192,26,26
31,2,0.611111111111111,0.0,0.05,42,40,27,76,49,172,26,26
32,2,0.611111111111111,0.1,0.01,42,37,25,74,49,1000,26,26
33,2,0.611111111111111,0.1,0.05,42,33,21,74,52,1000,28,28
34,2,0.611111111111111,0.2,0.01,42,38,30,74,48,1000,25,26
35,2,0.611111111111111,0.2,0.05,42,30,20,82,53,1000,24,24
36,2,0.6333333333333333,0.0,0.01,42,32,21,63,41,90,22,22
37,2,0.6333333333333333,0.0,0.05,42,30,20,61,40,98,20,20
38,2,0.6333333333333333,0.1,0.01,42,33,22,65,42,158,22,22
39,2,0.6333333333333333,0.1,0.05,42,35,23,65,42,168,20,20
40,2,0.6333333333333333,0.2,0.01,42,34,23,63,42,752,22,22
41,2,0.6333333333333333,0.2,0.05,42,36,24,68,45,1000,23,24
42,2,0.6555555555555554,0.0,0.01,42,28,19,54,37,58,18,18
43,2,0.6555555555555554,0.0,0.05,42,32,22,53,34,56,16,16
44,2,0.6555555555555554,0.1,0.01,42,26,19,55,37,80,18,18
45,2,0.6555555555555554,0.1,0.05,42,32,19,56,37,84,20,20
46,2,0.6555555555555554,0.2,0.01,42,33,23,54,37,132,18,18
47,2,0.6555555555555554,0.2,0.05,42,30,19,53,36,148,16,16
48,2,0.6777777777777777,0.0,0.01,42,24,16,48,32,46,16,16
49,2,0.6777777777777777,0.0,0.05,42,27,18,46,30,40,14,14
50,2,0.6777777777777777,0.1,0.01,42,25,17,48,32,54,16,16
51,2,0.6777777777777777,0.1,0.05,42,28,17,49,33,56,16,15
52,2,0.6777777777777777,0.2,0.01,42,25,18,48,32,82,16,16
53,2,0.6777777777777777,0.2,0.05,42,23,17,47,32,90,16,16
54,2,0.7,0.0,0.01,42,22,15,43,29,36,14,14
55,2,0.7,0.0,0.05,42,22,15,45,30,42,15,16
56,2,0.7,0.1,0.01,42,23,15,43,29,42,14,14
57,2,0.7,0.1,0.05,42,22,13,45,30,48,15,15
58,2,0.7,0.2,0.01,42,27,16,44,29,56,14,14
59,2,0.7,0.2,0.05,42,24,18,44,32,58,16,16
60,4,0.5,0.0,0.01,42,1000,1000,1000,1000,1000,1000,1000
61,4,0.5,0.0,0.05,42,1000,1000,1000,1000,1000,1000,1000
62,4,0.5,0.1,0.01,42,1000,1000,1000,1000,1000,1000,1000
63,4,0.5,0.1,0.05,42,1000,1000,1000,1000,1000,1000,1000
64,4,0.5,0.2,0.01,42,1000,1000,1000,1000,1000,1000,1000
65,4,0.5,0.2,0.05,42,1000,1000,1000,1000,1000,1000,1000
66,4,0.5222222222222223,0.0,0.01,42,189,118,707,446,1000,124,124
67,4,0.5222222222222223,0.0,0.05,42,160,98,825,557,1000,175,175
68,4,0.5222222222222223,0.1,0.01,42,162,95,732,448,1000,130,132
69,4,0.5222222222222223,0.1,0.05,42,129,78,623,417,1000,89,91
70,4,0.5222222222222223,0.2,0.01,42,167,113,714,471,1000,132,132
71,4,0.5222222222222223,0.2,0.05,42,229,170,700,513,1000,134,133
72,4,0.5444444444444444,0.0,0.01,42,92,59,362,226,1000,63,63
73,4,0.5444444444444444,0.0,0.05,42,83,53,427,295,1000,107,108
74,4,0.5444444444444444,0.1,0.01,42,93,57,362,230,1000,68,68
75,4,0.5444444444444444,0.1,0.05,42,89,55,346,219,1000,56,56
76,4,0.5444444444444444,0.2,0.01,42,76,50,360,231,1000,69,69
77,4,0.5444444444444444,0.2,0.05,42,95,63,341,236,1000,71,71
78,4,0.5666666666666667,0.0,0.01,42,62,39,243,155,1000,44,44
79,4,0.5666666666666667,0.0,0.05,42,60,41,237,157,1000,47,48
80,4,0.5666666666666667,0.1,0.01,42,71,46,253,163,1000,46,47
81,4,0.5666666666666667,0.1,0.05,42,60,40,261,173,1000,56,56
82,4,0.5666666666666667,0.2,0.01,42,81,62,245,157,1000,44,44
83,4,0.5666666666666667,0.2,0.05,42,50,37,261,172,1000,56,56
84,4,0.5888888888888889,0.0,0.01,42,47,30,183,118,1000,32,32
85,4,0.5888888888888889,0.0,0.05,42,52,34,189,124,1000,36,36
86,4,0.5888888888888889,0.1,0.01,42,47,30,185,119,1000,32,32
87,4,0.5888888888888889,0.1,0.05,42,52,31,192,123,1000,40,40
88,4,0.5888888888888889,0.2,0.01,42,47,29,187,121,1000,35,35
