batch_sizes,A_c,invalid
4,0.5,1.0
4,0.625,0.75
4,0.375,0.75
8,0.4375,0.875
20,0.55,0.9
220,0.5318181818181819,0.9
4,0.5,1.0
1,0.5,1.0
8,0.5625,0.875
189,0.5052910052910053,0.9894179894179894
115,0.5826086956521739,0.7478260869565218
12,0.5833333333333334,0.8333333333333334
4,0.5,1.0
12,0.5833333333333334,0.8333333333333334
8,0.5,1.0
4,0.5,1.0
17,0.6470588235294118,0.5882352941176471
72,0.5138888888888888,0.8888888888888888
4,0.625,0.75
227,0.5242290748898678,0.8722466960352423
14,0.5357142857142857,0.9285714285714286
16,0.53125,0.9375
199,0.5753768844221105,0.8190954773869347
36,0.5277777777777778,0.9444444444444444
16,0.5,0.875
39,0.5,0.9487179487179487
4,0.625,0.75
20,0.525,0.95
8,0.5,1.0
16,0.59375,0.8125
8,0.5,1.0
12,0.5,1.0
2,0.5,1.0
8,0.625,0.75
16,0.5,1.0
12,0.5833333333333334,0.8333333333333334
4,0.5,1.0
4,0.5,1.0
8,0.5625,0.875
16,0.53125,0.9375
12,0.4583333333333333,0.9166666666666666
4,0.625,0.75
4,0.625,0.75
92,0.5108695652173914,0.9347826086956522
8,0.5,1.0
12,0.5416666666666666,0.9166666666666666
4,0.5,1.0
4,0.375,0.75
316,0.5237341772151899,0.9018987341772152
31,0.5161290322580645,0.9032258064516129
23,0.4782608695652174,0.9565217391304348
40,0.4875,0.875
4,0.625,0.75
4,0.5,1.0
8,0.4375,0.875
260,0.5403846153846154,0.8961538461538462
8,0.5625,0.875
80,0.5,0.95
240,0.5479166666666667,0.8708333333333333
8,0.5,1.0
4,0.5,1.0
8,0.625,0.75
8,0.5625,0.875
4,0.625,0.75
188,0.5372340425531915,0.8936170212765957
3,0.6666666666666666,0.6666666666666666
8,0.625,0.75
4,0.5,1.0
4,0.5,1.0
357,0.5448179271708683,0.8711484593837535
8,0.5625,0.875
3,0.3333333333333333,0.6666666666666666
8,0.5625,0.875
31,0.5,0.8709677419354839
20,0.525,0.95
16,0.46875,0.9375
29,0.5172413793103449,0.896551724137931
4,0.625,0.75
16,0.5,1.0
83,0.572289156626506,0.8554216867469879
16,0.625,0.75
4,0.5,1.0
156,0.5416666666666666,0.8653846153846154
40,0.5625,0.875
28,0.5178571428571429,0.8928571428571429
4,0.5,1.0
14,0.4642857142857143,0.9285714285714286
4,0.5,1.0
8,0.5625,0.875
4,0.625,0.75
43,0.47674418604651164,0.9534883720930233
360,0.5402777777777777,0.8916666666666667
188,0.526595744680851,0.8829787234042553
12,0.5416666666666666,0.9166666666666666
8,0.5625,0.875
4,0.625,0.75
239,0.5648535564853556,0.8619246861924686
4,0.375,0.75
4,0.5,1.0
16,0.5625,0.875
4,0.5,1.0
8,0.625,0.75
12,0.5,1.0
28,0.5357142857142857,0.9285714285714286
4,0.5,1.0
4,0.375,0.75
247,0.5445344129554656,0.8866396761133604
4,0.5,1.0
83,0.5301204819277109,0.9156626506024096
336,0.5550595238095238,0.8839285714285714
12,0.5,1.0
8,0.625,0.75
16,0.59375,0.8125
84,0.5357142857142857,0.9047619047619048
32,0.5,0.9375
28,0.5357142857142857,0.8571428571428571
4,0.5,1.0
16,0.53125,0.9375
93,0.543010752688172,0.6989247311827957
8,0.5625,0.875
20,0.475,0.95
4,0.5,1.0
4,0.5,1.0
4,0.5,1.0
252,0.5595238095238095,0.8333333333333334
40,0.55,0.85
4,0.5,1.0
4,0.5,1.0
4,0.5,1.0
421,0.5403800475059383,0.8669833729216152
11,0.5454545454545454,0.9090909090909091
4,0.625,0.75
8,0.5,1.0
4,0.5,1.0
4,0.5,1.0
4,0.5,1.0
63,0.5873015873015873,0.8253968253968254
4,0.5,1.0
8,0.625,0.75
20,0.525,0.85
28,0.5178571428571429,0.9642857142857143
102,0.6519607843137255,0.5784313725490197
32,0.546875,0.90625
16,0.625,0.75
4,0.625,0.75
120,0.5375,0.8583333333333333
4,0.5,1.0
396,0.5757575757575758,0.8434343434343434
4,0.5,1.0
88,0.5511363636363636,0.8977272727272727
227,0.5462555066079295,0.8898678414096917
4,0.5,1.0
4,0.375,0.75
12,0.4583333333333333,0.9166666666666666
12,0.4583333333333333,0.9166666666666666
28,0.5357142857142857,0.9285714285714286
359,0.564066852367688,0.8607242339832869
4,0.625,0.75
4,0.625,0.75
28,0.5357142857142857,0.8571428571428571
12,0.5416666666666666,0.9166666666666666
8,0.4375,0.875
4,0.625,0.75
136,0.5110294117647058,0.9338235294117647
28,0.5714285714285714,0.8571428571428571
3,0.5,1.0
4,0.5,1.0
4,0.5,1.0
3,0.5,1.0
