population,alt,delta,rep,ui_ts_sample_size,ui_ts_time,lcb_sample_size,lcb_time,peak_sample_size,peak_time
point_mass,0.51,0.0,0,340.0,0.5720701217651367,400,0.863055944442749,400.0,2.2780208587646484
point_mass,0.51,0.2,0,400.0,0.584662675857544,333,0.8781533241271973,400.0,2.2851920127868652
point_mass,0.5514,0.0,0,40.0,0.5619287490844727,87,0.8793759346008301,400.0,2.330315113067627
point_mass,0.5514,0.2,0,46.0,0.5657269954681396,86,0.861198902130127,400.0,2.2802932262420654
point_mass,0.5929,0.0,0,23.0,0.5750982761383057,51,0.8656330108642578,194.0,2.303070306777954
point_mass,0.5929,0.2,0,26.0,0.5694148540496826,49,0.8640530109405518,194.0,2.305051803588867
point_mass,0.6343,0.0,0,17.0,0.5646839141845703,37,0.8789768218994141,98.0,2.2902183532714844
point_mass,0.6343,0.2,0,18.0,0.5695827007293701,36,0.8668057918548584,99.0,2.291112184524536
point_mass,0.6757,0.0,0,14.0,0.5579850673675537,29,0.8837001323699951,62.0,2.293353796005249
point_mass,0.6757,0.2,0,14.0,0.5604889392852783,29,0.8668580055236816,62.0,2.2634551525115967
point_mass,0.7171,0.0,0,12.0,0.557913064956665,25,0.874683141708374,43.0,2.2755279541015625
point_mass,0.7171,0.2,0,12.0,0.5661189556121826,24,0.866879940032959,44.0,2.279015302658081
point_mass,0.7586,0.0,0,10.0,0.5524308681488037,22,0.8508422374725342,33.0,2.279201030731201
point_mass,0.7586,0.2,0,11.0,0.5562348365783691,21,0.8573062419891357,33.0,2.293059825897217
point_mass,0.8,0.0,0,10.0,0.5606040954589844,19,0.874748945236206,27.0,2.279710054397583
point_mass,0.8,0.2,0,10.0,0.555401086807251,19,0.8601489067077637,27.0,2.269659996032715
bernoulli,0.6,0.0,0,385.0,1.6307401657104492,487,2.5027740001678467,400.0,6.655129909515381
bernoulli,0.6,0.0,1,747.0,1.619668960571289,1067,2.4937379360198975,1026.0,6.611279010772705
bernoulli,0.6,0.0,2,546.0,1.6108920574188232,711,2.5138187408447266,713.0,6.6432271003723145
bernoulli,0.6,0.0,3,351.0,1.6210169792175293,417,2.474778890609741,379.0,6.592536211013794
bernoulli,0.6,0.0,4,562.0,1.6248927116394043,700,2.502067804336548,632.0,6.6882219314575195
bernoulli,0.6,0.0,5,108.0,1.6350781917572021,464,2.4982552528381348,312.0,6.658863067626953
bernoulli,0.6,0.0,6,503.0,1.6107020378112793,581,2.47196102142334,548.0,6.64575719833374
bernoulli,0.6,0.0,7,276.0,1.6480321884155273,434,2.4890480041503906,484.0,6.596436977386475
bernoulli,0.6,0.0,8,170.0,1.6109952926635742,382,2.4713053703308105,298.0,6.571430206298828
bernoulli,0.6,0.0,9,154.0,1.6113979816436768,184,2.4788448810577393,185.0,6.581331968307495
bernoulli,0.6,0.0,10,347.0,1.6088430881500244,587,2.4952199459075928,359.0,6.586734771728516
bernoulli,0.6,0.0,11,219.0,1.6124799251556396,526,2.4719150066375732,562.0,6.630558967590332
bernoulli,0.6,0.0,12,397.0,1.6245229244232178,538,2.478011131286621,391.0,6.586381912231445
bernoulli,0.6,0.0,13,270.0,1.6124751567840576,420,2.4735169410705566,262.0,6.584454298019409
bernoulli,0.6,0.0,14,495.0,1.612656831741333,583,2.4741599559783936,519.0,6.576421022415161
bernoulli,0.6,0.0,15,144.0,1.608191967010498,789,2.4757678508758545,474.0,6.5662620067596436
bernoulli,0.6,0.0,16,484.0,1.6129238605499268,610,2.479871988296509,601.0,6.592120885848999
bernoulli,0.6,0.0,17,158.0,1.6155979633331299,1078,2.4835422039031982,1175.0,6.581019878387451
bernoulli,0.6,0.0,18,309.0,1.6084060668945312,404,2.476602792739868,401.0,6.577635049819946
bernoulli,0.6,0.0,19,524.0,1.6134231090545654,582,2.4683849811553955,229.0,6.582251071929932
bernoulli,0.6,0.0,20,640.0,1.6098949909210205,921,2.476840019226074,999.0,6.578685998916626
bernoulli,0.6,0.0,21,379.0,1.6110918521881104,433,2.4789819717407227,403.0,6.582242012023926
bernoulli,0.6,0.0,22,424.0,1.6102380752563477,555,2.4692649841308594,639.0,6.575597047805786
bernoulli,0.6,0.0,23,829.0,1.609067678451538,944,2.478637933731079,856.0,6.57158088684082
bernoulli,0.6,0.0,24,96.0,1.6109652519226074,183,2.4933507442474365,167.0,6.575831651687622
bernoulli,0.6,0.0,25,251.0,1.608532190322876,499,2.476048707962036,265.0,6.577591180801392
bernoulli,0.6,0.0,26,441.0,1.6100547313690186,510,2.469775676727295,448.0,6.583126068115234
bernoulli,0.6,0.0,27,62.0,1.6133010387420654,264,2.478363037109375,340.0,6.575299024581909
bernoulli,0.6,0.0,28,543.0,1.6098790168762207,619,2.4833099842071533,654.0,6.636482000350952
bernoulli,0.6,0.0,29,398.0,1.6125588417053223,556,2.4747300148010254,558.0,6.574440956115723
bernoulli,0.6,0.0,30,372.0,1.6101460456848145,983,2.4740941524505615,443.0,6.569196939468384
bernoulli,0.6,0.0,31,268.0,1.6083979606628418,497,2.4731531143188477,473.0,6.570724964141846
bernoulli,0.6,0.0,32,142.0,1.6117010116577148,302,2.47035813331604,298.0,6.577834129333496
bernoulli,0.6,0.0,33,364.0,1.6088907718658447,831,2.481611967086792,905.0,6.566819667816162
bernoulli,0.6,0.0,34,313.0,1.6155612468719482,402,2.47094988822937,441.0,6.567339897155762
bernoulli,0.6,0.0,35,128.0,1.610032081604004,185,2.4681859016418457,175.0,6.608203887939453
bernoulli,0.6,0.0,36,401.0,1.6104960441589355,583,2.4865541458129883,583.0,6.570056915283203
bernoulli,0.6,0.0,37,358.0,1.611375093460083,568,2.4666881561279297,462.0,6.5667641162872314
bernoulli,0.6,0.0,38,469.0,1.6068449020385742,626,2.47658109664917,484.0,6.577203989028931
bernoulli,0.6,0.0,39,12.0,1.6372287273406982,472,2.4834718704223633,346.0,6.584965944290161
bernoulli,0.6,0.0,40,759.0,1.6116368770599365,788,2.4830069541931152,774.0,6.677880048751831
bernoulli,0.6,0.0,41,370.0,1.6248278617858887,816,2.468579053878784,878.0,6.572211980819702
bernoulli,0.6,0.0,42,760.0,1.609158992767334,829,2.50095796585083,784.0,6.582000970840454
bernoulli,0.6,0.0,43,8.0,1.6074068546295166,246,2.475555181503296,230.0,6.610412836074829
bernoulli,0.6,0.0,44,548.0,1.6238231658935547,633,2.479566812515259,610.0,6.580168962478638
bernoulli,0.6,0.0,45,311.0,1.612833023071289,465,2.5310311317443848,461.0,6.637389898300171
bernoulli,0.6,0.0,46,507.0,1.6108448505401611,675,2.4845969676971436,643.0,6.573938846588135
bernoulli,0.6,0.0,47,791.0,1.6590378284454346,1121,2.5327417850494385,1183.0,6.639496088027954
bernoulli,0.6,0.0,48,150.0,1.6115188598632812,473,2.4792230129241943,270.0,6.588369846343994
bernoulli,0.6,0.0,49,704.0,1.6108620166778564,744,2.473499059677124,748.0,6.582127809524536
bernoulli,0.6,0.0,50,153.0,1.6093919277191162,269,2.4705281257629395,267.0,6.676862001419067
