alt,n_bands,delta,method,bet,allocation,stopping_time,sample_size,run_time
0.51,1,0.0,uinnsm_product,fixed_predictable,round_robin,400.0,400.0,0.04849386215209961
0.51,3,0.0,uinnsm_product,fixed_predictable,round_robin,400.0,400.0,0.13833856582641602
0.51,10,0.0,uinnsm_product,fixed_predictable,round_robin,400.0,400.0,0.4577336311340332
0.51,100,0.0,uinnsm_product,fixed_predictable,round_robin,400.0,400.0,4.604004383087158
0.51,500,0.0,uinnsm_product,fixed_predictable,round_robin,400.0,400.0,23.0290949344635
0.51,1,0.0,uinnsm_product,fixed_predictable,predictable_kelly,400.0,400.0,0.2380509376525879
0.51,3,0.0,uinnsm_product,fixed_predictable,predictable_kelly,400.0,400.0,0.7018988132476807
0.51,10,0.0,uinnsm_product,fixed_predictable,predictable_kelly,400.0,400.0,2.3333427906036377
0.51,100,0.0,uinnsm_product,fixed_predictable,predictable_kelly,400.0,400.0,23.510913133621216
0.51,500,0.0,uinnsm_product,fixed_predictable,predictable_kelly,400.0,400.0,117.66043329238892
0.51,1,0.0,uinnsm_product,fixed_predictable,greedy_kelly,400.0,400.0,0.5365986824035645
0.51,3,0.0,uinnsm_product,fixed_predictable,greedy_kelly,400.0,400.0,1.1504731178283691
0.51,10,0.0,uinnsm_product,fixed_predictable,greedy_kelly,400.0,400.0,3.308910608291626
0.51,100,0.0,uinnsm_product,fixed_predictable,greedy_kelly,400.0,400.0,31.168195962905884
0.51,500,0.0,uinnsm_product,fixed_predictable,greedy_kelly,400.0,400.0,155.30856347084045
0.51,1,0.0,uinnsm_product,agrapa,round_robin,400.0,400.0,0.04824256896972656
0.51,3,0.0,uinnsm_product,agrapa,round_robin,400.0,400.0,0.13908886909484863
0.51,10,0.0,uinnsm_product,agrapa,round_robin,400.0,400.0,0.4577152729034424
0.51,100,0.0,uinnsm_product,agrapa,round_robin,400.0,400.0,4.583339214324951
0.51,500,0.0,uinnsm_product,agrapa,round_robin,370.0,370.0,22.934206008911133
0.51,1,0.0,uinnsm_product,agrapa,predictable_kelly,400.0,400.0,0.23461580276489258
